Unnamed: 0,고객ID,Duration,총과금액,평균과금액,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료,연령대,마지막과금일,최초과금일,평균유지기간(월),LTV2,Cluster,1년이후잔존확률,2년이후잔존확률
10,C-10011,,3498400,53006.06061,남성,47,No,No,0,0,No,신용카드,Yes,No,Yes,Yes,10,2016-07-01,2022-01-01,No,54,,5435,4,0,40대,2021-12-01,2016-07-01 00:00:00,65.96666667,3496633.131,0,0.999787234,0.998591484
11,C-10012,,11481700,136686.9048,여성,25,Yes,Yes,2,2,Yes,신용카드,Yes,Yes,Yes,Yes,59,2015-01-01,2022-01-01,No,52,,6252,3,18080,20대,2021-12-01,2015-01-01 00:00:00,84.2,11509037.38,2,1,1
12,C-10013,,1344900,79111.76471,여성,58,Yes,No,0,0,Yes,계좌이체,No,No,No,Yes,10,2020-08-01,2022-01-01,No,57,,5536,3,21130,50대,2021-12-01,2020-08-01 00:00:00,16.23333333,1284247.647,0,0.829721595,0.627978479
13,C-10014,,9985300,118872.619,여성,32,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,16,2015-01-01,2022-01-01,No,53,,5513,3,2600,30대,2021-12-01,2015-01-01 00:00:00,84.2,10009074.52,2,1,0.9985
14,C-10015,,3594900,52866.17647,여성,39,No,No,0,0,No,계좌이체,Yes,Yes,Yes,Yes,19,2016-05-01,2022-01-01,No,37,,5795,3,0,30대,2021-12-01,2016-05-01 00:00:00,68,3594900,2,0.999722222,0.997277465
15,C-10016,,9353300,112690.3614,여성,58,Yes,Yes,2,9,Yes,신용카드,No,Yes,No,Yes,12,2015-02-01,2022-01-01,No,26,,4865,5,30850,50대,2021-12-01,2015-02-01 00:00:00,83.16666667,9372081.727,2,1,0.998109417
16,C-10017,,3305700,71863.04348,여성,52,Yes,Yes,1,0,No,신용카드,Yes,No,Yes,Yes,20,2018-03-01,2022-01-01,No,37,,3607,4,0,50대,2021-12-01,2018-03-01 00:00:00,45.7,3284141.087,2,0.997844489,0.96993804
17,C-10018,,1049900,80761.53846,여성,72,No,No,0,0,Yes,계좌이체,No,No,No,Yes,22,2020-12-01,2022-01-01,No,50,,4432,4,8810,70대,2021-12-01,2020-12-01 00:00:00,12.16666667,982598.7179,0,0.701803237,0.542735176
18,C-10019,1371,3363200,73113.04348,남성,79,No,No,0,0,No,신용카드,Yes,No,No,Yes,17,2018-03-01,2021-12-01,Yes,92,Dissatisfaction,2654,1,12090,70대,2021-12-01,2018-03-01 00:00:00,45.7,3341266.087,0,0.988270091,0.905240275
19,C-10020,31,55600,27800,남성,67,No,No,0,0,Yes,계좌이체,No,No,No,Yes,9,2021-07-01,2021-08-01,Yes,85,Competitor,5437,3,0,60대,2021-08-01,2021-07-01 00:00:00,1.033333333,28726.66667,0,0,0
20,C-10021,,1803400,29087.09677,여성,79,Yes,No,0,0,No,계좌이체,No,No,No,No,0,2016-11-01,2022-01-01,No,61,,4015,3,35480,70대,2021-12-01,2016-11-01 00:00:00,61.86666667,1799521.72,1,0.985918036,0.941176359
21,C-10022,396,1579900,112850,여성,26,Yes,No,0,1,No,계좌이체,No,Yes,No,Yes,52,2020-08-01,2021-09-01,Yes,75,Other,2973,1,0,20대,2021-09-01,2020-08-01 00:00:00,13.2,1489620,0,0.918315647,0.627908579
22,C-10023,,3393700,96962.85714,여성,30,Yes,Yes,2,1,Yes,계좌이체,No,No,No,Yes,30,2019-02-01,2022-01-01,No,78,,3585,4,39440,30대,2021-12-01,2019-02-01 00:00:00,34.46666667,3341986.476,0,0.984435865,0.909564199
23,C-10024,,341400,22760,여성,22,No,No,0,0,No,신용카드,No,No,No,No,0,2020-10-01,2022-01-01,No,59,,5634,4,3500,20대,2021-12-01,2020-10-01 00:00:00,14.2,323192,1,0.996414595,0.983062319
24,C-10025,122,118700,23740,여성,34,Yes,No,0,0,No,신용카드,No,No,No,No,0,2021-04-01,2021-08-01,Yes,81,Price,4133,1,14010,30대,2021-08-01,2021-04-01 00:00:00,4.066666667,96542.66667,1,0.004583333,0.004583333
25,C-10027,,8147600,121605.9701,여성,37,Yes,Yes,3,10,Yes,계좌이체,No,Yes,Yes,No,57,2016-06-01,2022-01-01,No,65,,5892,3,39550,30대,2021-12-01,2016-06-01 00:00:00,66.96666667,8143546.468,2,1,1
26,C-10028,,1609900,24392.42424,남성,42,Yes,Yes,3,3,No,신용카드,No,No,No,No,0,2016-07-01,2022-01-01,No,60,,6393,4,22260,40대,2021-12-01,2016-07-01 00:00:00,65.96666667,1609086.919,1,1,1
27,C-10029,,883400,23247.36842,남성,64,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2018-11-01,2022-01-01,No,26,,3722,4,42600,60대,2021-12-01,2018-11-01 00:00:00,37.53333333,872551.2281,1,0.996565171,0.995292529
28,C-10030,,1892600,23365.4321,여성,47,Yes,Yes,3,5,No,계좌이체,No,No,No,No,0,2015-04-01,2022-01-01,No,76,,4131,5,43390,40대,2021-12-01,2015-04-01 00:00:00,81.2,1897273.086,1,1,0.998076225
29,C-10031,,5286800,107893.8776,남성,23,No,No,0,1,No,신용카드,No,No,No,Yes,51,2017-12-01,2022-01-01,No,55,,5263,5,48590,20대,2021-12-01,2017-12-01 00:00:00,48.7,5254431.837,0,0.992744676,0.977887444
30,C-10032,,1474600,24173.77049,여성,48,Yes,No,0,5,No,계좌이체,No,No,No,No,0,2016-12-01,2022-01-01,No,20,,6061,3,56050,40대,2021-12-01,2016-12-01 00:00:00,60.86666667,1471376.831,1,0.998717949,0.998384615
31,C-10033,,10587100,135732.0513,남성,28,Yes,No,0,9,No,계좌이체,Yes,Yes,Yes,Yes,41,2015-07-01,2022-01-01,No,42,,5845,3,49490,20대,2021-12-01,2015-07-01 00:00:00,78.16666667,10609722.01,2,1,1
32,C-10034,,1917400,24270.88608,여성,28,No,No,0,0,No,계좌이체,No,No,No,No,0,2015-06-01,2022-01-01,No,72,,5462,5,26100,20대,2021-12-01,2015-06-01 00:00:00,79.16666667,1921445.148,1,0.999878093,0.997670082
33,C-10035,,1480300,46259.375,남성,33,Yes,Yes,1,4,Yes,신용카드,Yes,No,Yes,Yes,22,2019-05-01,2022-01-01,No,29,,3899,3,0,30대,2021-12-01,2019-05-01 00:00:00,31.5,1457170.313,2,0.979250916,0.933696783
34,C-10036,,1608700,29249.09091,여성,31,No,Yes,3,0,Yes,계좌이체,No,No,No,No,0,2017-06-01,2022-01-01,No,59,,4797,4,34580,30대,2021-12-01,2017-06-01 00:00:00,54.8,1602850.182,1,0.998720198,0.997062944
35,C-10037,,7102400,106005.9701,여성,37,Yes,No,0,2,Yes,계좌이체,Yes,No,No,Yes,9,2016-06-01,2022-01-01,No,42,,5875,3,5760,30대,2021-12-01,2016-06-01 00:00:00,66.96666667,7098866.468,2,1,0.998525204
36,C-10038,,8014000,112873.2394,여성,60,Yes,No,0,4,Yes,계좌이체,Yes,Yes,No,Yes,14,2016-02-01,2022-01-01,No,26,,5238,3,18530,60대,2021-12-01,2016-02-01 00:00:00,71,8014000,2,0.998040322,0.997422931
37,C-10039,,572600,23858.33333,여성,48,Yes,Yes,3,3,No,계좌이체,No,No,No,No,0,2020-01-01,2022-01-01,No,57,,5190,5,21810,40대,2021-12-01,2020-01-01 00:00:00,23.33333333,556694.4444,1,0.99530906,0.994285537
38,C-10040,,3410100,87438.46154,남성,60,Yes,Yes,3,7,Yes,계좌이체,No,No,No,Yes,23,2018-10-01,2022-01-01,No,46,,4994,3,28590,60대,2021-12-01,2018-10-01 00:00:00,38.56666667,3372210,2,0.999358974,0.98881347
39,C-10041,61,174500,58166.66667,남성,69,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,27,2021-08-01,2021-10-01,Yes,89,Competitor,3475,2,49720,60대,2021-10-01,2021-08-01 00:00:00,2.033333333,118272.2222,0,0.013321759,0.010023148
40,C-10042,,3554600,91143.58974,여성,20,No,No,0,0,No,신용카드,No,Yes,Yes,Yes,59,2018-10-01,2022-01-01,No,54,,2297,3,55260,20대,2021-12-01,2018-10-01 00:00:00,38.56666667,3515104.444,2,1,0.97919329
41,C-10043,,1127200,30464.86486,남성,31,Yes,Yes,3,1,No,신용카드,No,No,No,No,0,2018-12-01,2022-01-01,No,65,,5230,3,26780,30대,2021-12-01,2018-12-01 00:00:00,36.53333333,1112983.063,1,0.995989513,0.991689409
42,C-10044,,2645500,71500,남성,46,Yes,No,0,5,Yes,계좌이체,Yes,Yes,No,Yes,19,2018-12-01,2022-01-01,No,66,,3807,3,7350,40대,2021-12-01,2018-12-01 00:00:00,36.53333333,2612133.333,2,0.997666667,0.985045908
43,C-10045,,2138100,52148.78049,남성,57,No,Yes,1,0,Yes,신용카드,Yes,Yes,Yes,Yes,21,2018-08-01,2022-01-01,No,73,,3290,4,0,50대,2021-12-01,2018-08-01 00:00:00,40.6,2117240.488,2,0.995455033,0.966856486
44,C-10046,,8402000,100023.8095,남성,27,No,No,0,5,Yes,계좌이체,No,Yes,Yes,Yes,52,2015-01-01,2022-01-01,No,76,,6322,3,36610,20대,2021-12-01,2015-01-01 00:00:00,84.2,8422004.762,2,1,1
45,C-10047,,1655200,63661.53846,여성,64,No,No,0,0,No,신용카드,No,Yes,No,Yes,12,2019-11-01,2022-01-01,No,57,,4298,3,27120,60대,2021-12-01,2019-11-01 00:00:00,25.36666667,1614881.026,0,0.965887291,0.810612473
46,C-10048,,5432400,115582.9787,여성,38,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,2,2018-02-01,2022-01-01,No,36,,3244,3,41130,30대,2021-12-01,2018-02-01 00:00:00,46.63333333,5390019.574,0,0.995785285,0.975458594
47,C-10049,,681200,52400,남성,54,No,No,0,0,Yes,신용카드,No,No,No,Yes,9,2020-12-01,2022-01-01,No,57,,4427,5,48590,50대,2021-12-01,2020-12-01 00:00:00,12.16666667,637533.3333,0,0.565286903,0.550491521
48,C-10050,,4434100,108148.7805,남성,50,No,No,0,0,Yes,계좌이체,No,No,Yes,No,17,2018-08-01,2022-01-01,No,60,,4561,5,2370,50대,2021-12-01,2018-08-01 00:00:00,40.6,4390840.488,0,0.998589894,0.987568767
49,C-10051,,7279600,95784.21053,남성,25,No,No,0,0,No,계좌이체,Yes,Yes,Yes,No,69,2015-09-01,2022-01-01,No,67,,4761,3,6220,20대,2021-12-01,2015-09-01 00:00:00,76.1,7289178.421,2,0.999484204,0.997640629
50,C-10052,,5979500,117245.098,여성,35,Yes,Yes,3,1,Yes,신용카드,No,No,Yes,Yes,53,2017-10-01,2022-01-01,No,43,,4447,3,27570,30대,2021-12-01,2017-10-01 00:00:00,50.73333333,5948234.641,2,0.995348653,0.98030588
51,C-10053,,5574700,107205.7692,여성,72,No,No,0,0,Yes,계좌이체,No,No,No,Yes,23,2017-09-01,2022-01-01,No,59,,5742,3,0,70대,2021-12-01,2017-09-01 00:00:00,51.73333333,5546111.795,0,0.994962937,0.983504487
52,C-10054,1218,5015100,122319.5122,남성,51,No,No,0,0,Yes,신용카드,No,Yes,No,Yes,15,2018-03-01,2021-07-01,Yes,93,Competitor,2832,1,42600,50대,2021-07-01,2018-03-01 00:00:00,40.6,4966172.195,0,1,0.986409969
53,C-10055,335,1377100,114758.3333,여성,78,No,Yes,1,0,Yes,계좌이체,No,Yes,No,No,29,2020-05-01,2021-04-01,Yes,85,Dissatisfaction,5980,1,13110,70대,2021-04-01,2020-05-01 00:00:00,11.16666667,1281468.056,0,0.754125931,0.512009447
54,C-10056,,1060200,58900,여성,30,Yes,No,0,10,No,계좌이체,No,No,No,Yes,85,2020-07-01,2022-01-01,No,74,,3442,3,48250,30대,2021-12-01,2020-07-01 00:00:00,17.26666667,1017006.667,2,0.956647758,0.935005232
55,C-10057,,3143400,74842.85714,남성,58,No,No,0,0,Yes,이체/메일확인,Yes,No,No,Yes,15,2018-07-01,2022-01-01,No,48,,5039,3,0,50대,2021-12-01,2018-07-01 00:00:00,41.63333333,3115957.619,0,0.998756624,0.985833535
56,C-10058,,886400,22728.20513,남성,26,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2018-10-01,2022-01-01,No,39,,3792,5,23390,20대,2021-12-01,2018-10-01 00:00:00,38.56666667,876551.1111,1,0.999895013,0.997355915
57,C-10059,,10210000,124512.1951,남성,66,Yes,No,0,3,Yes,계좌이체,No,Yes,No,Yes,28,2015-03-01,2022-01-01,No,57,,5291,5,0,60대,2021-12-01,2015-03-01 00:00:00,82.23333333,10239052.85,2,0.995464289,0.991567183
58,C-10060,,8914000,129188.4058,여성,20,No,No,0,10,Yes,계좌이체,No,Yes,Yes,Yes,73,2016-04-01,2022-01-01,No,65,,6026,5,0,20대,2021-12-01,2016-04-01 00:00:00,69,8914000,2,0.999485827,0.999241925
59,C-10061,,4164900,59498.57143,남성,61,Yes,No,0,10,No,신용카드,No,No,No,Yes,18,2016-03-01,2022-01-01,No,30,,5232,5,0,60대,2021-12-01,2016-03-01 00:00:00,70.03333333,4166883.286,2,0.9996875,0.998150415
60,C-10062,,2282300,81510.71429,남성,24,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,48,2019-09-01,2022-01-01,No,39,,3360,5,29040,20대,2021-12-01,2019-09-01 00:00:00,27.4,2233393.571,0,0.995619888,0.871013497
61,C-10063,,10957300,135275.3086,여성,55,Yes,No,0,3,Yes,계좌이체,Yes,Yes,Yes,Yes,27,2015-04-01,2022-01-01,No,37,,4216,3,43510,50대,2021-12-01,2015-04-01 00:00:00,81.2,10984355.06,2,1,1
62,C-10065,31,227700,113850,남성,59,No,No,0,0,Yes,계좌이체,No,No,No,Yes,25,2021-01-01,2021-02-01,Yes,93,Competitor,4214,1,45990,50대,2021-02-01,2021-01-01 00:00:00,1.033333333,117645,0,0,0
63,C-10066,,4802200,109140.9091,남성,71,Yes,Yes,1,9,Yes,이체/메일확인,No,Yes,No,Yes,23,2018-05-01,2022-01-01,No,62,,2844,5,36050,70대,2021-12-01,2018-05-01 00:00:00,43.66666667,4765819.697,2,0.99769617,0.994920987
64,C-10067,,3005700,107346.4286,남성,49,Yes,Yes,2,8,Yes,계좌이체,No,No,No,Yes,12,2019-09-01,2022-01-01,No,66,,5560,3,55030,40대,2021-12-01,2019-09-01 00:00:00,27.4,2941292.143,2,0.994993811,0.97402939
65,C-10068,1491,4891300,97826,남성,61,Yes,No,0,1,No,계좌이체,Yes,No,Yes,Yes,10,2017-09-01,2021-10-01,Yes,73,Competitor,6452,2,44750,60대,2021-10-01,2017-09-01 00:00:00,49.7,4861952.2,2,0.999420635,0.986514276
66,C-10069,,5754900,69336.14458,여성,40,Yes,No,0,2,No,계좌이체,No,Yes,Yes,Yes,29,2015-02-01,2022-01-01,No,76,,5224,5,0,40대,2021-12-01,2015-02-01 00:00:00,83.16666667,5766456.024,2,1,1
67,C-10070,,5665300,125895.5556,여성,39,No,No,0,0,No,계좌이체,No,Yes,No,Yes,12,2018-04-01,2022-01-01,No,33,,4800,3,56160,30대,2021-12-01,2018-04-01 00:00:00,44.66666667,5623334.815,0,0.99772973,0.990769535
68,C-10071,,507000,23045.45455,여성,21,No,No,0,9,Yes,계좌이체,No,No,No,No,0,2020-03-01,2022-01-01,No,54,,3831,4,56050,20대,2021-12-01,2020-03-01 00:00:00,21.33333333,491636.3636,1,0.985295136,0.982692004
69,C-10072,640,2908600,132209.0909,남성,24,No,No,0,1,Yes,계좌이체,No,Yes,Yes,No,59,2020-03-01,2021-12-01,Yes,89,Attitude,4123,3,41020,20대,2021-12-01,2020-03-01 00:00:00,21.33333333,2820460.606,0,0.988857143,0.857850876
70,C-10073,1126,1775700,46728.94737,남성,52,Yes,Yes,1,1,No,계좌이체,Yes,Yes,No,Yes,23,2018-09-01,2021-10-01,Yes,80,Competitor,3627,2,0,50대,2021-10-01,2018-09-01 00:00:00,37.53333333,1753893.158,2,0.94672294,0.672392816
71,C-10074,,3880900,102128.9474,여성,71,No,No,0,0,Yes,신용카드,Yes,No,No,Yes,7,2018-11-01,2022-01-01,No,46,,5700,3,38080,70대,2021-12-01,2018-11-01 00:00:00,37.53333333,3833239.825,0,0.996880342,0.948616696
72,C-10075,,2628500,42395.16129,남성,45,No,No,0,0,Yes,신용카드,Yes,No,Yes,Yes,7,2016-11-01,2022-01-01,No,36,,5052,3,0,40대,2021-12-01,2016-11-01 00:00:00,61.86666667,2622847.312,0,0.994038051,0.981511095
73,C-10076,212,671500,83937.5,여성,29,No,No,0,0,Yes,계좌이체,No,No,No,Yes,26,2020-12-01,2021-07-01,Yes,67,Competitor,2473,3,32320,20대,2021-07-01,2020-12-01 00:00:00,7.066666667,593158.3333,0,0.322322443,0.308491695
74,C-10077,,7547900,103395.8904,여성,62,Yes,No,0,1,No,이체/메일확인,Yes,Yes,Yes,Yes,28,2015-12-01,2022-01-01,No,40,,5152,4,53340,60대,2021-12-01,2015-12-01 00:00:00,73.06666667,7554793.059,2,0.99975,0.998373593
75,C-10078,456,1874800,117175,남성,42,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,12,2020-01-01,2021-04-01,Yes,99,Attitude,3025,2,51870,40대,2021-04-01,2020-01-01 00:00:00,15.2,1781060,0,0.968909584,0.752315732
76,C-10079,,2022900,53234.21053,여성,51,No,Yes,2,0,No,신용카드,Yes,No,Yes,Yes,19,2018-11-01,2022-01-01,No,45,,3287,4,0,50대,2021-12-01,2018-11-01 00:00:00,37.53333333,1998057.368,2,0.99360966,0.961075756
77,C-10080,,9296600,110673.8095,남성,39,Yes,No,0,9,Yes,계좌이체,No,No,No,Yes,23,2015-01-01,2022-01-01,No,20,,5943,3,37520,30대,2021-12-01,2015-01-01 00:00:00,84.2,9318734.762,2,1,0.998623897
78,C-10081,,1338600,23903.57143,남성,64,Yes,No,0,1,Yes,계좌이체,No,No,No,No,0,2017-05-01,2022-01-01,No,59,,3093,3,30960,60대,2021-12-01,2017-05-01 00:00:00,55.83333333,1334616.071,1,0.991973339,0.987606939
79,C-10082,,8236400,105594.8718,남성,55,No,No,0,0,No,신용카드,No,Yes,No,No,8,2015-07-01,2022-01-01,No,49,,4889,3,55140,50대,2021-12-01,2015-07-01 00:00:00,78.16666667,8253999.145,1,0.995746501,0.984564297
80,C-10083,61,295800,98600,여성,40,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,16,2021-08-01,2021-10-01,Yes,94,Competitor,3529,2,41580,40대,2021-10-01,2021-08-01 00:00:00,2.033333333,200486.6667,0,0.02760361,0.027325833
81,C-10084,,4902300,87541.07143,여성,76,No,No,0,0,No,계좌이체,No,No,Yes,Yes,17,2017-05-01,2022-01-01,No,71,,3253,5,8700,70대,2021-12-01,2017-05-01 00:00:00,55.83333333,4887709.821,0,1,0.991696172
82,C-10085,365,1397000,107461.5385,여성,57,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,6,2020-07-01,2021-07-01,Yes,97,Attitude,5671,3,16270,50대,2021-07-01,2020-07-01 00:00:00,12.16666667,1307448.718,0,0.818951887,0.619004571
83,C-10086,,10491300,129522.2222,남성,71,Yes,No,0,1,Yes,계좌이체,No,Yes,Yes,Yes,17,2015-04-01,2022-01-01,No,63,,4297,5,20790,70대,2021-12-01,2015-04-01 00:00:00,81.2,10517204.44,2,0.999168022,0.998712737
84,C-10088,92,93100,23275,여성,24,No,No,0,0,No,신용카드,No,No,No,No,0,2020-11-01,2021-02-01,Yes,95,Price,3398,1,29150,20대,2021-02-01,2020-11-01 00:00:00,3.066666667,71376.66667,1,0.015151515,0.014545455
85,C-10089,,1614600,115328.5714,여성,31,No,No,0,10,No,계좌이체,Yes,Yes,No,Yes,53,2020-11-01,2022-01-01,No,29,,5361,3,5310,30대,2021-12-01,2020-11-01 00:00:00,13.16666667,1518492.857,2,0.992077342,0.963565384
86,C-10090,,4043900,103689.7436,여성,77,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,4,2018-10-01,2022-01-01,No,77,,5990,4,3390,70대,2021-12-01,2018-10-01 00:00:00,38.56666667,3998967.778,0,0.997827131,0.975949386
87,C-10091,,909800,23942.10526,남성,57,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2018-11-01,2022-01-01,No,68,,5712,5,15030,50대,2021-12-01,2018-11-01 00:00:00,37.53333333,898627.0175,1,0.997130481,0.996935522
88,C-10092,,5981900,117292.1569,여성,73,Yes,No,0,9,Yes,계좌이체,No,No,Yes,Yes,21,2017-10-01,2022-01-01,No,77,,3172,4,22830,70대,2021-12-01,2017-10-01 00:00:00,50.73333333,5950622.092,2,0.999375,0.997736867
89,C-10093,761,2910700,111950,남성,41,No,No,0,0,Yes,계좌이체,No,No,No,Yes,8,2019-04-01,2021-05-01,Yes,82,Competitor,5641,1,39440,40대,2021-05-01,2019-04-01 00:00:00,25.36666667,2839798.333,0,0.998507508,0.925384795
90,C-10094,31,157800,78900,여성,43,No,No,0,0,No,이체/메일확인,No,No,No,Yes,23,2021-01-01,2021-02-01,Yes,78,Competitor,4739,1,44970,40대,2021-02-01,2021-01-01 00:00:00,1.033333333,81530,0,0,0
91,C-10095,670,1492500,64891.30435,남성,48,Yes,No,0,1,Yes,계좌이체,Yes,No,Yes,Yes,21,2019-06-01,2021-04-01,Yes,87,Attitude,5102,2,30740,40대,2021-04-01,2019-06-01 00:00:00,22.33333333,1449239.13,2,0.910543878,0.600011466
92,C-10096,,11264500,134101.1905,여성,56,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,5,2015-01-01,2022-01-01,No,69,,4589,4,54690,50대,2021-12-01,2015-01-01 00:00:00,84.2,11291320.24,2,1,1
93,C-10097,,833600,23155.55556,여성,51,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2019-01-01,2022-01-01,No,34,,2511,5,11980,50대,2021-12-01,2019-01-01 00:00:00,35.5,822022.2222,1,0.99938319,0.999123506
94,C-10098,,3223300,103977.4194,여성,34,Yes,No,0,8,Yes,계좌이체,No,No,No,Yes,16,2019-06-01,2022-01-01,No,64,,5072,5,8810,30대,2021-12-01,2019-06-01 00:00:00,30.46666667,3167845.376,0,0.998846154,0.991985512
95,C-10099,,2496300,30075.90361,남성,21,No,No,0,2,No,신용카드,No,No,No,No,0,2015-02-01,2022-01-01,No,68,,5747,5,10400,20대,2021-12-01,2015-02-01 00:00:00,83.16666667,2501312.651,1,0.998633388,0.998066905
96,C-10100,,5742700,127615.5556,남성,78,Yes,No,0,7,Yes,계좌이체,Yes,No,Yes,Yes,20,2018-04-01,2022-01-01,No,59,,5655,3,23390,70대,2021-12-01,2018-04-01 00:00:00,44.66666667,5700161.481,2,1,0.99856044
97,C-10101,,370400,24693.33333,여성,60,No,No,0,0,No,신용카드,No,No,No,No,0,2020-10-01,2022-01-01,No,74,,5949,3,0,60대,2021-12-01,2020-10-01 00:00:00,14.2,350645.3333,1,0.958124901,0.899194109
98,C-10102,,6044100,102442.3729,남성,54,Yes,Yes,1,7,No,계좌이체,No,Yes,No,Yes,13,2017-02-01,2022-01-01,No,76,,3760,3,0,50대,2021-12-01,2017-02-01 00:00:00,58.8,6023611.525,2,1,0.997309557
99,C-10103,,9585600,129535.1351,남성,42,Yes,Yes,3,2,No,신용카드,Yes,Yes,Yes,Yes,20,2015-11-01,2022-01-01,No,43,,5298,4,2030,40대,2021-12-01,2015-11-01 00:00:00,74.06666667,9594235.676,2,1,1
100,C-10104,,11427800,137684.3373,남성,22,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,48,2015-02-01,2022-01-01,No,59,,4644,4,3280,20대,2021-12-01,2015-02-01 00:00:00,83.16666667,11450747.39,2,0.998409292,0.995694559
101,C-10105,,2005300,105542.1053,남성,71,Yes,No,0,8,Yes,계좌이체,No,No,No,Yes,11,2020-06-01,2022-01-01,No,36,,5711,4,47460,70대,2021-12-01,2020-06-01 00:00:00,18.26666667,1927902.456,0,0.982011555,0.917651552
102,C-10106,,3416800,87610.25641,여성,56,Yes,Yes,2,6,No,신용카드,Yes,No,No,Yes,28,2018-10-01,2022-01-01,No,57,,4331,3,52770,50대,2021-12-01,2018-10-01 00:00:00,38.56666667,3378835.556,2,0.997557865,0.986898308
103,C-10107,,328600,23471.42857,남성,33,No,No,0,0,No,신용카드,No,No,No,No,0,2020-11-01,2022-01-01,No,59,,4978,3,2030,30대,2021-12-01,2020-11-01 00:00:00,13.16666667,309040.4762,1,0.991840057,0.982161342
104,C-10108,,1529200,41329.72973,여성,32,No,Yes,3,0,No,계좌이체,Yes,No,Yes,Yes,75,2018-12-01,2022-01-01,No,69,,2754,4,0,30대,2021-12-01,2018-12-01 00:00:00,36.53333333,1509912.793,2,0.979560679,0.92692944
